Sale Price,City,Neighborhood,Pincode,Property Size (sqft),Lot Size,Bedrooms,Bathrooms,Year Built,Nearby Amenities,Market Trends
9887000,Thoothukudi,Thoothukudi Sector 1,62521,3005,3728,3,2,2007,"Hospital, Mall",Declining
2495000,Cuddalore,Cuddalore Sector 3,62349,752,1688,4,4,2011,"Hospital, Mall",Declining
3187000,Krishnagiri,Krishnagiri Sector 1,61577,952,1517,5,4,1994,"Parks, School",Stable
9214000,Kancheepuram,Kancheepuram Sector 5,61527,1857,2608,3,2,1994,"Hospital, Mall",Stable
4876000,Erode,Erode Sector 8,63157,1358,1737,1,1,2014,"Parks, School",Stable
14320000,Salem,Salem Sector 1,62365,3673,4634,4,4,2011,"Temple, Gym",Stable
2569000,Namakkal,Namakkal Sector 8,60711,766,1570,4,3,1997,"Hospital, Mall",Stable
10987000,Tenkasi,Tenkasi Sector 6,64351,3887,4264,1,1,2016,"Hospital, Mall",Stable
12305000,Theni,Theni Sector 10,64995,4368,4853,1,1,2023,"Parks, School",Stable
25933000,Chennai,Chennai Sector 10,60541,2999,3939,4,3,2003,,Rising
8217000,Perambalur,Perambalur Sector 7,64861,2879,3814,2,1,2018,"Parks, School",Rising
7236000,Tiruppur,Tiruppur Sector 7,64392,1690,2573,5,4,2008,,Stable
3456000,Thoothukudi,Thoothukudi Sector 6,63240,966,1726,4,4,2012,"Market, Bus Stand",Declining
12415000,Tirunelveli,Tirunelveli Sector 1,61139,4387,5344,1,1,2005,"Parks, School",Stable
4774000,Cuddalore,Cuddalore Sector 6,63913,1517,2058,5,4,2024,,Declining
4066000,Kancheepuram,Kancheepuram Sector 2,64895,748,1169,5,5,2005,"Market, Bus Stand",Declining
6442000,Viluppuram,Viluppuram Sector 8,64639,2172,2564,4,3,2009,"Hospital, Mall",Stable
3647000,Kallakurichi,Kallakurichi Sector 6,61702,1186,1469,3,3,2017,,Declining
9876000,Nagapattinam,Nagapattinam Sector 4,64139,3395,3734,4,3,2009,"Hospital, Mall",Stable
20944000,Kancheepuram,Kancheepuram Sector 5,61142,4326,5188,2,2,2005,,Rising
5892000,Thoothukudi,Thoothukudi Sector 6,63800,1761,2752,3,3,2021,,Declining
4194000,Dharmapuri,Dharmapuri Sector 7,64130,1359,2215,4,4,2014,"Parks, School",Declining
11438000,Kallakurichi,Kallakurichi Sector 8,62578,3930,4750,4,4,2024,"Market, Bus Stand",Stable
8815000,Tirupathur,Tirupathur Sector 5,63132,3089,3889,2,2,2008,"Market, Bus Stand",Rising
11721000,Thiruvallur,Thiruvallur Sector 3,60312,4024,4940,5,5,2016,"Temple, Gym",Rising
7279000,Theni,Theni Sector 8,62148,2470,2792,4,3,2008,"Temple, Gym",Declining
7691000,Theni,Theni Sector 4,64190,2569,3223,5,4,1992,"Market, Bus Stand",Stable
2967000,Perambalur,Perambalur Sector 5,61471,914,1186,4,4,2021,"Market, Bus Stand",Stable
12644000,Thiruvallur,Thiruvallur Sector 7,61523,4423,4791,3,3,2018,"Market, Bus Stand",Rising
12671000,Salem,Salem Sector 1,64767,3312,4246,1,1,1999,"Temple, Gym",Declining
4266000,Pudukkottai,Pudukkottai Sector 10,60345,1357,1651,5,4,1990,"Market, Bus Stand",Stable
9847000,Karur,Karur Sector 2,61768,3347,3712,5,5,2024,"Market, Bus Stand",Declining
7894000,Sivaganga,Sivaganga Sector 2,63928,2641,3063,5,5,2019,"Hospital, Mall",Rising
10293000,Viluppuram,Viluppuram Sector 4,62351,3484,4146,5,5,2003,"Hospital, Mall",Stable
6799000,Ranipet,Ranipet Sector 3,61875,2360,2635,2,2,2003,"Parks, School",Stable
8423000,Erode,Erode Sector 10,64860,2342,2869,2,2,1993,"Hospital, Mall",Declining
14094000,The Nilgiris,The Nilgiris Sector 9,63322,2288,2564,4,4,1998,"Temple, Gym",Declining
10998000,Dindigul,Dindigul Sector 9,61479,3783,4751,4,3,2012,"Market, Bus Stand",Declining
8942000,Cuddalore,Cuddalore Sector 4,63184,3042,3885,4,4,2005,"Hospital, Mall",Declining
10197000,Karur,Karur Sector 3,60161,3620,4105,1,1,1993,"Temple, Gym",Stable
12587000,Dharmapuri,Dharmapuri Sector 6,62930,4443,5002,1,1,1999,,Stable
8410000,Sivaganga,Sivaganga Sector 9,62681,2830,3375,5,4,2013,"Hospital, Mall",Stable
13257000,Erode,Erode Sector 1,63795,3697,4363,3,3,2008,"Hospital, Mall",Declining
15056000,Tiruppur,Tiruppur Sector 9,60750,3693,4018,3,2,1996,"Hospital, Mall",Declining
5649000,Pudukkottai,Pudukkottai Sector 2,60926,1934,2444,2,2,1993,,Stable
12893000,Kallakurichi,Kallakurichi Sector 7,60464,4411,4631,5,4,2014,,Rising
3421000,Erode,Erode Sector 1,62974,821,1063,5,4,2010,"Market, Bus Stand",Rising
9146000,Coimbatore,Coimbatore Sector 3,61604,1591,2201,4,4,2009,"Market, Bus Stand",Stable
6158000,Tiruvannamalai,Tiruvannamalai Sector 7,62936,2080,2598,3,2,2005,"Hospital, Mall",Rising
7953000,Tirunelveli,Tirunelveli Sector 4,60837,2673,3023,5,4,1993,,Stable
9588000,Ranipet,Ranipet Sector 8,63494,3260,3641,5,4,2005,"Hospital, Mall",Rising
3388000,Ranipet,Ranipet Sector 7,62964,1163,2162,1,1,1992,"Temple, Gym",Declining
4952000,Tiruvannamalai,Tiruvannamalai Sector 3,64326,1735,2194,1,1,1997,,Stable
11883000,Chengalpattu,Chengalpattu Sector 10,64632,2340,2725,2,1,2014,"Market, Bus Stand",Stable
9336000,Thoothukudi,Thoothukudi Sector 9,63302,2860,3832,2,2,1994,,Stable
5077000,Tirupathur,Tirupathur Sector 5,62806,1794,2357,1,1,2015,"Parks, School",Stable
8836000,Thiruvallur,Thiruvallur Sector 8,62414,3021,3504,4,4,2007,"Temple, Gym",Rising
12311000,Kallakurichi,Kallakurichi Sector 7,64924,4378,4740,1,1,2004,,Declining
8220000,Chengalpattu,Chengalpattu Sector 1,64460,1575,2213,3,3,2024,"Parks, School",Stable
10636000,Thanjavur,Thanjavur Sector 10,62205,3745,4370,1,1,2020,"Hospital, Mall",Rising
3408000,Ranipet,Ranipet Sector 2,61100,1159,1767,2,2,1996,"Market, Bus Stand",Stable
8954000,Thanjavur,Thanjavur Sector 7,61591,3070,3430,4,3,1990,"Hospital, Mall",Stable
12661000,Erode,Erode Sector 10,60536,3472,4016,5,5,2016,"Temple, Gym",Stable
3677000,Pudukkottai,Pudukkottai Sector 4,61753,1184,2107,4,4,2018,"Market, Bus Stand",Stable
2045000,Perambalur,Perambalur Sector 4,63377,670,1033,2,2,2021,,Declining
12124000,Thoothukudi,Thoothukudi Sector 4,61451,3729,4562,2,1,1990,"Temple, Gym",Rising
7907000,Tiruppur,Tiruppur Sector 2,64233,1845,2205,5,5,2021,,Stable
2155000,Ariyalur,Ariyalur Sector 4,61693,641,1317,4,3,2024,,Rising
10902000,Namakkal,Namakkal Sector 5,61270,3738,3949,4,4,2009,"Market, Bus Stand",Stable
2539000,Namakkal,Namakkal Sector 9,63929,837,1232,2,2,2019,"Hospital, Mall",Rising
11121000,Namakkal,Namakkal Sector 10,64203,3852,4183,3,2,2018,,Rising
2786000,Kanniyakumari,Kanniyakumari Sector 8,63228,817,1622,5,5,2013,"Market, Bus Stand",Stable
9080000,Viluppuram,Viluppuram Sector 1,63333,3167,3762,2,2,2012,,Stable
6965000,Chennai,Chennai Sector 7,63890,757,988,5,5,2023,"Market, Bus Stand",Declining
5449000,Tirupathur,Tirupathur Sector 1,64646,1885,2537,2,2,2020,,Stable
12347000,Thoothukudi,Thoothukudi Sector 3,61979,3840,4720,1,1,2023,"Market, Bus Stand",Stable
12333000,Cuddalore,Cuddalore Sector 3,62502,4259,4476,4,4,1990,"Hospital, Mall",Stable
7010000,Nagapattinam,Nagapattinam Sector 3,61748,2452,3164,1,1,2004,"Parks, School",Stable
4970000,Thanjavur,Thanjavur Sector 9,62540,1607,2211,5,4,2009,"Parks, School",Declining
4885000,Ranipet,Ranipet Sector 10,64679,1711,2030,1,1,2009,"Hospital, Mall",Stable
16200000,Vellore,Vellore Sector 6,63206,4457,5097,2,2,1997,"Parks, School",Stable
10116000,Karur,Karur Sector 6,64863,3529,4003,2,1,2012,"Temple, Gym",Declining
4944000,Thiruvallur,Thiruvallur Sector 4,62109,1609,2520,4,3,2016,,Stable
10073000,Pudukkottai,Pudukkottai Sector 4,60789,3563,4406,1,1,2003,"Temple, Gym",Stable
9818000,Thanjavur,Thanjavur Sector 9,62501,3337,3678,5,5,2007,"Market, Bus Stand",Stable
11693000,Tenkasi,Tenkasi Sector 8,62223,4126,4718,1,1,2000,"Parks, School",Rising
4038000,Nagapattinam,Nagapattinam Sector 7,64526,1292,1896,4,3,2013,"Parks, School",Stable
3958000,Dharmapuri,Dharmapuri Sector 2,64418,1253,1832,4,4,2020,,Rising
6726000,Karur,Karur Sector 5,60573,2244,2940,4,3,2006,,Declining
10832000,Krishnagiri,Krishnagiri Sector 10,64543,3799,4625,2,2,2024,"Market, Bus Stand",Rising
2288000,Tirunelveli,Tirunelveli Sector 5,61687,669,908,4,3,2007,"Temple, Gym",Declining
12529000,Erode,Erode Sector 1,64306,3518,4206,2,1,1997,"Hospital, Mall",Stable
13683000,Salem,Salem Sector 9,64972,3509,4036,3,3,2004,"Market, Bus Stand",Stable
10615000,Viluppuram,Viluppuram Sector 8,64570,3599,4030,5,4,1991,"Market, Bus Stand",Declining
3962000,Krishnagiri,Krishnagiri Sector 10,64628,1310,1819,3,2,2005,"Temple, Gym",Rising
12092000,The Nilgiris,The Nilgiris Sector 1,64271,2002,2833,1,1,2011,"Parks, School",Stable
13575000,Tiruchirappalli,Tiruchirappalli Sector 1,64550,3144,3537,4,4,2015,"Hospital, Mall",Declining
10049000,Coimbatore,Coimbatore Sector 4,63861,1738,2172,5,4,2000,"Hospital, Mall",Stable
13400000,Salem,Salem Sector 2,61993,3460,3680,3,2,2016,"Parks, School",Declining
4427000,Tiruchirappalli,Tiruchirappalli Sector 6,64533,995,1283,2,1,2006,"Parks, School",Declining
12463000,Kancheepuram,Kancheepuram Sector 6,61391,2578,3097,1,1,2020,"Parks, School",Stable
10164000,Nagapattinam,Nagapattinam Sector 7,64404,3473,4201,4,3,1991,,Stable
5358000,Pudukkottai,Pudukkottai Sector 10,61100,1867,2711,1,1,2005,"Hospital, Mall",Stable
12264000,Cuddalore,Cuddalore Sector 6,60447,4278,4753,3,3,1996,"Parks, School",Rising
6576000,Coimbatore,Coimbatore Sector 3,63126,1183,1472,1,1,1992,,Stable
10412000,Ariyalur,Ariyalur Sector 2,64658,3680,4224,1,1,2013,"Parks, School",Declining
3067000,Dharmapuri,Dharmapuri Sector 3,62657,951,1750,4,3,2006,,Declining
5800000,Tiruchirappalli,Tiruchirappalli Sector 9,62894,1258,1905,5,4,1999,,Rising
14680000,Coimbatore,Coimbatore Sector 6,61204,2655,3462,1,1,2002,"Market, Bus Stand",Declining
8456000,Ranipet,Ranipet Sector 10,63838,2921,3258,3,2,2023,"Temple, Gym",Stable
5891000,Tenkasi,Tenkasi Sector 10,61217,1962,2538,4,3,2022,"Market, Bus Stand",Declining
11546000,Thiruvallur,Thiruvallur Sector 5,63573,4012,4475,3,3,2011,,Declining
6152000,Chengalpattu,Chengalpattu Sector 9,60481,1121,1435,5,5,2019,"Market, Bus Stand",Stable
8212000,Ramanathapuram,Ramanathapuram Sector 6,60324,2914,3839,1,1,2006,"Hospital, Mall",Stable
10619000,Thiruvarur,Thiruvarur Sector 7,64607,3712,4454,2,1,2021,"Parks, School",Stable
8133000,Madurai,Madurai Sector 4,63559,1742,2107,3,2,1995,"Parks, School",Stable
10262000,Vellore,Vellore Sector 6,63635,2718,3640,5,5,2001,"Parks, School",Stable
11287000,Kallakurichi,Kallakurichi Sector 2,63890,3909,4550,3,2,2011,"Temple, Gym",Rising
5676000,Ariyalur,Ariyalur Sector 2,62254,1950,2460,2,2,2001,"Hospital, Mall",Stable
7144000,Krishnagiri,Krishnagiri Sector 9,61539,2422,3141,4,4,2018,"Temple, Gym",Stable
8223000,Namakkal,Namakkal Sector 2,63954,2814,3088,3,2,2018,,Stable
9517000,Ranipet,Ranipet Sector 3,61277,3274,3960,4,3,2017,"Market, Bus Stand",Stable
